L1_CODE,L0_CODE,L0_NAME,L1_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,Badakhshan,1602.1866072059872,1.0,Member State,AFG,ND,2012
AFG10,AFG1,Afghanistan,Ghor,1194.5254162932913,1.0,Member State,AFG,ND,2012
AFG11,AFG1,Afghanistan,Hilmand,1623.2750827269404,1.0,Member State,AFG,ND,2012
AFG12,AFG1,Afghanistan,Hirat,5620.1188016357055,1.0,Member State,AFG,ND,2012
AFG13,AFG1,Afghanistan,Jawzjan,879.9962136199158,1.0,Member State,AFG,ND,2012
AFG14,AFG1,Afghanistan,Kabul,18547.04049692372,1.0,Member State,AFG,ND,2012
AFG15,AFG1,Afghanistan,Kandahar,4013.5712877798055,1.0,Member State,AFG,ND,2012
AFG16,AFG1,Afghanistan,Kapisa,712.310861438069,1.0,Member State,AFG,ND,2012
AFG17,AFG1,Afghanistan,Khost,1103.4086568708028,1.0,Member State,AFG,ND,2012
AFG18,AFG1,Afghanistan,Kunar,792.4083011728792,1.0,Member State,AFG,ND,2012
AFG19,AFG1,Afghanistan,Kunduz,2772.222071396177,1.0,Member State,AFG,ND,2012
AFG2,AFG1,Afghanistan,Badghis,801.2293172461203,1.0,Member State,AFG,ND,2012
AFG20,AFG1,Afghanistan,Laghman,769.0284761908199,1.0,Member State,AFG,ND,2012
AFG21,AFG1,Afghanistan,Logar,660.6042518150338,1.0,Member State,AFG,ND,2012
AFG22,AFG1,Afghanistan,Nangarhar,3101.8528349879175,1.0,Member State,AFG,ND,2012
AFG23,AFG1,Afghanistan,Nimroz,548.7183914822302,1.0,Member State,AFG,ND,2012
AFG24,AFG1,Afghanistan,Nuristan,225.31480515608627,1.0,Member State,AFG,ND,2012
AFG25,AFG1,Afghanistan,Paktika,734.9955390422913,1.0,Member State,AFG,ND,2012
AFG26,AFG1,Afghanistan,Paktya,829.7434270276287,1.0,Member State,AFG,ND,2012
AFG27,AFG1,Afghanistan,Panjsher,271.75769320331733,1.0,Member State,AFG,ND,2012
AFG28,AFG1,Afghanistan,Parwan,1344.8851737140865,1.0,Member State,AFG,ND,2012
AFG29,AFG1,Afghanistan,Samangan,664.0094113789718,1.0,Member State,AFG,ND,2012
AFG3,AFG1,Afghanistan,Baghlan,1708.3591630559736,1.0,Member State,AFG,ND,2012
AFG30,AFG1,Afghanistan,Sar-e-Pul,1048.427059304586,1.0,Member State,AFG,ND,2012
AFG31,AFG1,Afghanistan,Takhar,1688.2694924776195,1.0,Member State,AFG,ND,2012
AFG32,AFG1,Afghanistan,Uruzgan,566.0365529058338,1.0,Member State,AFG,ND,2012
AFG33,AFG1,Afghanistan,Wardak,966.4315999100527,1.0,Member State,AFG,ND,2012
AFG34,AFG1,Afghanistan,Zabul,520.3583460637394,1.0,Member State,AFG,ND,2012
AFG4,AFG1,Afghanistan,Balkh,3877.9963560825463,1.0,Member State,AFG,ND,2012
AFG5,AFG1,Afghanistan,Bamyan,697.4129718719392,1.0,Member State,AFG,ND,2012
AFG6,AFG1,Afghanistan,Daykundi,723.7755850837602,1.0,Member State,AFG,ND,2012
AFG7,AFG1,Afghanistan,Farah,751.24480723581,1.0,Member State,AFG,ND,2012
AFG8,AFG1,Afghanistan,Faryab,1624.8480463456349,1.0,Member State,AFG,ND,2012
AFG9,AFG1,Afghanistan,Ghazni,2109.6437793920554,1.0,Member State,AFG,ND,2012
BGD35,BGD23,Bangladesh,Barishal,26297.653247797913,1.0,Member State,BGD,ND,2012
BGD36,BGD23,Bangladesh,Chattogram,100109.18838881662,1.0,Member State,BGD,ND,2012
