globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,Disputed,total_gdp,year,geo_level
{F3CCBEEC-D078-4B9A-8B7D-706A0DBA3153},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,ND,1887.6724840941572,2022,1.0
{6023E6AD-8264-4B62-893B-C36560B0C33A},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,ND,1023.0527558592428,2022,1.0
{3678B860-B969-4C7A-AFEE-B32827BD64D5},Member State,AFG,AFG1,Afghanistan,AFG3,Baghlan,ND,1439.0654617916211,2022,1.0
{EB84BEEB-5869-4910-B9AC-F4C51F34C899},Member State,AFG,AFG1,Afghanistan,AFG4,Balkh,ND,3905.122651721852,2022,1.0
{AAF8BDD6-459A-4945-A7BA-F05D154A5D98},Member State,AFG,AFG1,Afghanistan,AFG5,Bamyan,ND,753.0456522611827,2022,1.0
{0AEE240D-587C-4451-8D4E-550889C46D80},Member State,AFG,AFG1,Afghanistan,AFG6,Daykundi,ND,711.5483875773089,2022,1.0
{7A159368-6365-4278-A439-35C8A33E7E63},Member State,AFG,AFG1,Afghanistan,AFG7,Farah,ND,906.2272295492769,2022,1.0
{6E29C778-B6FC-47D2-A3E2-172C8733079E},Member State,AFG,AFG1,Afghanistan,AFG8,Faryab,ND,1944.9036663449497,2022,1.0
{C46414A6-66C6-4FBE-B984-E54935543138},Member State,AFG,AFG1,Afghanistan,AFG9,Ghazni,ND,1344.4304577986861,2022,1.0
{81C30C23-D205-42E8-9771-173A20AA39B4},Member State,AFG,AFG1,Afghanistan,AFG10,Ghor,ND,1298.596823989861,2022,1.0
{A8FEA624-959E-4D7D-B820-415DA7E88228},Member State,AFG,AFG1,Afghanistan,AFG11,Hilmand,ND,1545.9235071181133,2022,1.0
{E8C85248-5113-481F-9734-7A440C1FC77A},Member State,AFG,AFG1,Afghanistan,AFG12,Hirat,ND,7586.311382991158,2022,1.0
{2F484D37-19C8-4261-98D6-99A227FA2D30},Member State,AFG,AFG1,Afghanistan,AFG13,Jawzjan,ND,830.7080133505063,2022,1.0
{56D8F1CC-A1CB-40A3-9663-940E164E5F65},Member State,AFG,AFG1,Afghanistan,AFG14,Kabul,ND,18198.010322877934,2022,1.0
{5B66D02E-9E1C-4833-8F33-772D3E4B4679},Member State,AFG,AFG1,Afghanistan,AFG15,Kandahar,ND,4194.231664064449,2022,1.0
{3F96070A-7679-4FF6-A729-DF67251C8AB0},Member State,AFG,AFG1,Afghanistan,AFG16,Kapisa,ND,644.1008359810216,2022,1.0
{7FCF232E-8638-4FF2-872F-38993FD4B074},Member State,AFG,AFG1,Afghanistan,AFG17,Khost,ND,1370.2885619446397,2022,1.0
{E4491DA0-D69F-4016-8D84-2661AF148DFE},Member State,AFG,AFG1,Afghanistan,AFG18,Kunar,ND,816.8396573743875,2022,1.0
{463B103B-072D-4A00-867F-B66506C64325},Member State,AFG,AFG1,Afghanistan,AFG19,Kunduz,ND,1569.4050242096203,2022,1.0
{1939DDC1-DE4D-47D1-8C98-15E9849C519C},Member State,AFG,AFG1,Afghanistan,AFG20,Laghman,ND,831.7134493381652,2022,1.0
{79342DEF-3A59-433F-A986-3437F1BC96BE},Member State,AFG,AFG1,Afghanistan,AFG21,Logar,ND,644.8788327098966,2022,1.0
{3F504EF9-4711-4AE3-AA9A-C378CF7DE46B},Member State,AFG,AFG1,Afghanistan,AFG22,Nangarhar,ND,2950.832043169512,2022,1.0
{86724887-9A18-4345-B05C-D6CD7990176E},Member State,AFG,AFG1,Afghanistan,AFG23,Nimroz,ND,515.5478654224248,2022,1.0
{528F6FEA-2797-4444-A852-72D4562C1F44},Member State,AFG,AFG1,Afghanistan,AFG24,Nuristan,ND,220.35613533158445,2022,1.0
{8B87AF98-3493-4369-8693-AC57E138C3A0},Member State,AFG,AFG1,Afghanistan,AFG25,Paktika,ND,692.0752029670923,2022,1.0
{D88C3912-5BB3-4D5A-AB32-47DA1C33B5AF},Member State,AFG,AFG1,Afghanistan,AFG26,Paktya,ND,819.8883574652493,2022,1.0
{8845BB87-6359-4D8A-ACE2-C0AAB3358250},Member State,AFG,AFG1,Afghanistan,AFG27,Panjsher,ND,238.82798289920734,2022,1.0
{DE5E99BF-D492-4B88-A9D1-8B007E2178DF},Member State,AFG,AFG1,Afghanistan,AFG28,Parwan,ND,1082.6706957269153,2022,1.0
{F74AA631-C18C-4A3B-ABEC-C0DB197684C0},Member State,AFG,AFG1,Afghanistan,AFG29,Samangan,ND,648.1481357200676,2022,1.0
{3B7C24BC-90F8-41E4-8EBA-31748DAA51DE},Member State,AFG,AFG1,Afghanistan,AFG30,Sar-e-Pul,ND,777.1523148373549,2022,1.0
{53EF497A-CBAA-4B68-A9D6-861CB313E605},Member State,AFG,AFG1,Afghanistan,AFG31,Takhar,ND,1851.8800216201655,2022,1.0
{2F70AE8F-27A9-4BD2-95B1-493C048B24C8},Member State,AFG,AFG1,Afghanistan,AFG32,Uruzgan,ND,558.3036088516003,2022,1.0
{7E74265D-09F0-4B33-89E5-DC883A73E4D6},Member State,AFG,AFG1,Afghanistan,AFG33,Wardak,ND,1011.1148814135865,2022,1.0
{4A74EAAB-154B-420D-8892-FF08DA4656C7},Member State,AFG,AFG1,Afghanistan,AFG34,Zabul,ND,487.0811773763585,2022,1.0
{89D721DB-CAB9-40DC-8EA9-5BE9A3F4D8BB},Member State,BGD,BGD23,Bangladesh,BGD35,Barishal,ND,42029.47366795828,2022,1.0
{AC003940-A0FE-42B9-81B0-028CB6FBB66A},Member State,BGD,BGD23,Bangladesh,BGD36,Chattogram,ND,180535.1921971797,2022,1.0
{34F6FA4B-ABD5-4592-BE67-8E9D2F22F850},Member State,BGD,BGD23,Bangladesh,BGD37,Dhaka,ND,405846.88795431686,2022,1.0
{D636C8F9-6532-451F-9C32-71C481407410},Member State,BGD,BGD23,Bangladesh,BGD38,Khulna,ND,106689.43705791912,2022,1.0
{D254184F-BCB6-48CE-9392-9D541D473E06},Member State,BGD,BGD23,Bangladesh,BGD39,Mymensingh,ND,62579.06824964235,2022,1.0
{47724B90-C582-4AEC-8ED1-E91B0C1017D8},Member State,BGD,BGD23,Bangladesh,BGD40,Rajshahi,ND,113250.14033076727,2022,1.0
{556569C7-A990-4B60-BBDA-E39A32A1E9B0},Member State,BGD,BGD23,Bangladesh,BGD41,Rangpur,ND,83951.8044859431,2022,1.0
{3EEBBD4D-7B9A-45B0-8459-4A8EFD9E5F2D},Member State,BGD,BGD23,Bangladesh,BGD42,Sylhet,ND,57569.92098720191,2022,1.0
{EFB1A5CA-5D63-4FB6-9883-05E769CCBA4E},Member State,BTN,BTN31,Bhutan,BTN43,Bumthang,ND,121.68894126492555,2022,1.0
{81AD74EE-2A71-4877-A02F-DE9047915FBC},Member State,BTN,BTN31,Bhutan,BTN44,Chhukha,ND,3162.397696023618,2022,1.0
{0B507162-0319-476C-8D84-3FABB18B7097},Member State,BTN,BTN31,Bhutan,BTN45,Dagana,ND,113.93106950700773,2022,1.0
{3AA1CECF-1CE3-4D38-8553-30F3BEB48CD7},Member State,BTN,BTN31,Bhutan,BTN46,Gasa,ND,28.22454488505023,2022,1.0
{BC51ED6C-1E10-4767-8BDC-D8A7D805C9BB},Member State,BTN,BTN31,Bhutan,BTN47,Haa,ND,126.34720377141619,2022,1.0
{8A165227-9733-406F-932E-C236BB7A9510},Member State,BTN,BTN31,Bhutan,BTN48,Lhuentse,ND,109.73777737200405,2022,1.0
{AF9E2C40-3F4A-45BA-8525-22D11C07E80F},Member State,BTN,BTN31,Bhutan,BTN49,Monggar,ND,285.6974160090125,2022,1.0
