L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,25.27055537872306,2.0,Member State,AFG,ND,2022
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,185.07142249366623,2.0,Member State,AFG,ND,2022
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,76.39231181717368,2.0,Member State,AFG,ND,2022
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,180.08871070292363,2.0,Member State,AFG,ND,2022
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,531.9494663410335,2.0,Member State,AFG,ND,2022
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,63.49745435142937,2.0,Member State,AFG,ND,2022
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,239.41642811734914,2.0,Member State,AFG,ND,2022
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,52.94080127350493,2.0,Member State,AFG,ND,2022
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,193.034619828938,2.0,Member State,AFG,ND,2022
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,22.32463747139216,2.0,Member State,AFG,ND,2022
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,26.830592549778178,2.0,Member State,AFG,ND,2022
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,121.57435497862824,2.0,Member State,AFG,ND,2022
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,97.69046198365533,2.0,Member State,AFG,ND,2022
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,51.25328101466449,2.0,Member State,AFG,ND,2022
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,72.44421025525205,2.0,Member State,AFG,ND,2022
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,134.42697124187163,2.0,Member State,AFG,ND,2022
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,32.45785430782012,2.0,Member State,AFG,ND,2022
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,33.82159400092407,2.0,Member State,AFG,ND,2022
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,182.66321629968778,2.0,Member State,AFG,ND,2022
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,29.641853575693407,2.0,Member State,AFG,ND,2022
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,66.73007397718358,2.0,Member State,AFG,ND,2022
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,52.20517998171131,2.0,Member State,AFG,ND,2022
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,24.628062040452885,2.0,Member State,AFG,ND,2022
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,32.55095358723151,2.0,Member State,AFG,ND,2022
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,251.5388082398675,2.0,Member State,AFG,ND,2022
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,148.5566700742034,2.0,Member State,AFG,ND,2022
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,15.493748350380834,2.0,Member State,AFG,ND,2022
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,37.810801181080016,2.0,Member State,AFG,ND,2022
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,28.76535456831781,2.0,Member State,AFG,ND,2022
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,11.263193689776502,2.0,Member State,AFG,ND,2022
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,274.9643489575271,2.0,Member State,AFG,ND,2022
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,53.518073935858155,2.0,Member State,AFG,ND,2022
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,66.13110769989314,2.0,Member State,AFG,ND,2022
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,55.82917880616046,2.0,Member State,AFG,ND,2022
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,47.635381527789626,2.0,Member State,AFG,ND,2022
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,232.61504868820506,2.0,Member State,AFG,ND,2022
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,145.28353319249902,2.0,Member State,AFG,ND,2022
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,59.203047157266596,2.0,Member State,AFG,ND,2022
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,148.08256452039066,2.0,Member State,AFG,ND,2022
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,175.09956140710085,2.0,Member State,AFG,ND,2022
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,87.87035962495996,2.0,Member State,AFG,ND,2022
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,150.00532823392743,2.0,Member State,AFG,ND,2022
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,25.667357368607956,2.0,Member State,AFG,ND,2022
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,161.64136484245043,2.0,Member State,AFG,ND,2022
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,113.21813388735092,2.0,Member State,AFG,ND,2022
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,32.7876559909331,2.0,Member State,AFG,ND,2022
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,242.9407261394456,2.0,Member State,AFG,ND,2022
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,102.12626820018562,2.0,Member State,AFG,ND,2022
