geo_level,year,sovereign,Disputed,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,variable,var_label,value
0,2010,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),57644.543
0,2011,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),57990.18
0,2012,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),65096.008
0,2013,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),68776.32
0,2014,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),70514.391
0,2015,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),71744.422
0,2016,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),73709.344
0,2017,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),75754.945
0,2018,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),76659.031
0,2019,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),79513.852
0,2020,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),77389.672
0,2021,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),61679.152
0,2022,AFG,ND,AFG1,Afghanistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),65299.957
0,2010,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),495919
0,2011,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),527920.13
0,2012,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),561986
0,2013,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),595629.5
0,2014,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),631608.81
0,2015,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),672919
0,2016,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),720857.25
0,2017,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),767604.56
0,2018,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),823581.5
0,2019,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),888676.81
0,2020,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),918759.19
0,2021,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),982602.88
0,2022,BGD,ND,BGD23,Bangladesh,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),1052451.9
0,2010,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6145.8335
0,2011,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6620.5596
0,2012,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6947.9092
0,2013,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),7075.3345
0,2014,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),7468.5171
0,2015,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),7954.2578
0,2016,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8604.3623
0,2017,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8996.4336
0,2018,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),9302.3818
0,2019,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),9824.5049
0,2020,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8846.6494
0,2021,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),9232.541
0,2022,BTN,ND,BTN31,Bhutan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),10390.789
0,2010,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),5085780
0,2011,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),5352591
0,2012,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),5645095.5
0,2013,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6010223.5
0,2014,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6460300.5
0,2015,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),6980729
0,2016,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),7550613
0,2017,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8061933.5
0,2018,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8581049
0,2019,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8916876
0,2020,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),8409740
0,2021,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),9171569
0,2022,IND,ND,IND115,India,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),9852176
0,2010,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),17.521448
0,2011,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),18.98514
0,2012,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),19.385515
0,2013,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),20.682362
0,2014,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),22.091738
0,2015,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),22.624519
0,2016,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),23.4849
0,2017,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),24.548769
0,2018,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),26.126698
0,2019,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),27.623505
0,2020,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),18.444693
0,2021,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),24.95298
0,2022,MDV,ND,MDV154,Maldives,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),28.181955
0,2010,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),70040.945
0,2011,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),72437.664
0,2012,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),75841.82
0,2013,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),78562.195
0,2014,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),83237.563
0,2015,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),86376.242
0,2016,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),87151.133
0,2017,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),94963.172
0,2018,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),102333.7
0,2019,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),109023.16
0,2020,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),105703.88
0,2021,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),109889.27
0,2022,NPL,ND,NPL175,Nepal,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),115883.13
0,2010,PAK,ND,PAK188,Pakistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),778191.5
0,2011,PAK,ND,PAK188,Pakistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),795857.38
0,2012,PAK,ND,PAK188,Pakistan,,,,,total_gdp,Total GDP (millions USD  in 2017 PPP),818638.75
